,0
252,57
253,96
254,53
255,44
256,42
257,75
258,14
259,23
260,15
261,25
262,131
263,28
264,8
265,33
266,51
267,36
268,8
269,17
270,63
271,6
272,133
273,35
274,29
275,58
276,24
277,27
278,14
279,38
280,33
281,36
282,37
283,93
284,27
285,6
286,25
287,8
288,44
289,38
290,30
291,355
292,22
293,9
294,26
295,32
296,29
297,28
298,6
299,19
300,177
301,25
302,29
303,5
304,32
305,22
306,31
307,21
308,20
309,23
310,42
311,29
312,22
313,8
314,35
315,29
316,4
317,26
318,5
319,18
320,11
321,3
322,8
323,29
324,43
325,6
326,33
327,27
328,34
329,56
330,28
331,17
332,38
333,5
334,19
335,24
336,19
337,34
338,3
339,12
340,187
341,13
342,32
343,34
344,6
345,5
346,17
347,17
348,18
349,17
350,19
351,25
352,142
353,48
354,40
355,8
356,9
357,3
358,15
359,4
360,21
361,453
362,13
363,16
364,9
365,16
366,28
367,32
368,67
369,237
370,8
371,42
372,24
373,244
374,23
375,26
376,12
377,13
378,14
379,17
380,231
381,18
382,21
383,17
384,30
385,16
386,255
387,50
388,40
389,7
390,9
391,29
392,22
393,15
394,5
395,105
396,155
397,14
398,69
399,54
400,26
401,9
402,36
403,24
404,13
405,15
406,16
407,43
408,8
409,37
410,21
411,10
412,35
413,16
414,55
415,18
416,8
417,9
418,35
419,28
420,63
421,15
422,63
423,27
424,69
425,96
426,32
427,33
428,10
429,21
430,55
431,4
432,61
433,29
434,201
435,10
436,24
437,118
438,24
439,6
440,11
441,18
442,227
443,47
444,28
445,61
446,107
447,3
448,26
449,3
450,7
451,14
452,15
453,30
454,391
455,17
456,5
457,16
458,24
459,21
460,10
461,14
462,88
463,17
464,30
465,41
466,31
467,18
468,8
469,35
470,20
471,20
472,33
473,15
474,8
475,13
476,8
477,33
478,136
479,21
480,6
481,13
482,8
483,31
484,22
485,59
486,12
487,13
488,11
489,16
490,20
491,9
492,4
493,16
494,14
495,46
496,31
497,46
498,140
499,69
500,8
501,4
502,7
503,3
504,49
505,32
506,30
507,11
508,19
509,12
510,14
511,374
512,8
513,7
514,3
515,6
516,8
517,41
518,6
519,41
520,170
521,13
522,20
523,9
524,31
525,131
526,8
527,14
528,22
529,5
530,19
531,35
532,31
533,37
534,5
535,19
536,26
537,24
538,64
539,14
540,30
541,40
542,247
543,24
544,11
545,90
546,60
547,24
548,14
549,15
550,26
551,8
552,20
553,10
554,20
555,21
556,115
557,29
558,19
559,8
560,30
561,34
562,22
563,36
564,106
565,26
566,26
567,3
568,16
569,46
570,8
571,16
572,14
573,15
574,23
575,22
576,36
577,657
578,518
579,36
580,25
581,26
582,10
583,72
584,33
585,199
586,14
587,8
588,30
589,31
590,23
591,19
592,28
593,275
594,9
595,28
596,32
597,21
598,24
599,23
600,12
601,11
602,23
603,15
604,23
605,30
606,30
607,3
608,10
609,35
610,28
611,7
612,4
613,69
614,14
615,21
616,93
617,10
618,5
619,25
620,57
621,4
622,24
623,27
624,4
625,124
626,85
627,7
628,6
629,4
630,17
631,26
632,14
633,32
634,17
635,28
636,7
637,66
638,28
639,15
640,45
641,8
642,8
643,10
644,46
645,8
646,387
647,20
648,10
649,28
650,10
651,20
652,11
653,130
654,28
655,106
656,15
657,80
658,7
659,15
660,6
661,39
662,39
663,23
664,18
665,17
666,23
667,7
668,56
669,19
670,22
671,29
672,27
673,32
674,27
675,30
676,12
677,57
678,7
679,17
680,14
681,151
682,27
683,15
684,19
685,42
686,84
687,14
688,17
689,7
690,26
691,38
692,36
693,10
694,26
695,19
696,32
697,17
698,15
699,13
700,4
701,2
702,7
703,23
704,33
705,27
706,68
707,156
708,35
709,12
710,28
711,32
712,54
713,4
714,29
715,12
716,29
717,4
718,59
719,136
720,136
721,30
722,27
723,24
724,6
725,18
726,12
727,26
728,20
729,22
730,34
731,6
732,28
733,22
734,6
735,693
736,653
737,13
738,20
739,6
740,35
741,46
742,11
743,18
744,54
745,436
746,21
747,260
748,25
749,22
750,166
751,9
752,102
753,19
754,43
755,14
756,16
757,45
758,19
759,99
760,8
761,120
762,102
763,57
764,33
765,28
766,21
767,98
768,26
769,13
770,14
771,33
772,23
773,39
774,672
775,11
776,14
777,4
778,12
779,15
780,21
781,8
782,12
783,23
784,31
785,30
786,37
787,9
788,16
789,27
790,4
791,29
792,12
793,110
794,32
795,42
796,23
797,133
798,42
799,28
800,51
801,15
802,4
803,36
804,24
805,14
806,22
807,28
808,35
809,37
810,24
811,14
812,52
813,25
814,14
815,10
816,10
817,80
818,69
819,173
820,32
821,14
822,29
823,24
824,30
825,6
826,21
827,8
828,17
829,7
830,63
831,40
832,150
833,9
834,7
835,51
836,18
837,23
838,9
839,18
840,194
841,14
842,31
843,322
844,32
845,57
846,75
847,28
848,33
849,86
850,31
851,56
852,28
853,8
854,7
855,30
856,29
857,12
858,6
859,18
860,7
861,40
862,24
863,15
864,16
865,10
866,24
867,17
868,36
869,33
870,27
871,4
872,39
873,13
874,20
875,3
876,23
877,26
878,28
879,28
880,30
881,29
882,23
883,26
884,20
885,52
886,21
887,34
888,20
889,27
890,42
891,23
892,69
893,38
894,17
895,29
896,3
897,24
898,7
899,29
900,21
901,245
902,13
903,11
904,10
905,21
906,25
907,15
908,22
909,3
910,29
911,2
912,16
913,27
914,22
915,31
916,7
917,5
918,17
919,11
920,8
921,93
922,26
923,35
924,31
925,27
926,14
927,111
928,10
929,59
930,31
931,21
932,23
933,29
934,9
935,11
936,20
937,15
938,12
939,41
940,54
941,7
942,18
943,60
944,26
945,43
946,8
947,16
948,29
949,11
950,26
951,47
952,32
953,29
954,6
955,10
956,121
957,64
958,15
959,10
960,16
961,61
962,4
963,13
964,4
965,4
966,11
967,18
968,30
969,13
970,4
971,49
972,35
973,33
974,14
975,8
976,16
977,18
978,22
979,6
980,32
981,8
982,11
983,21
984,144
985,24
986,121
987,16
988,31
989,9
990,40
991,22
992,30
993,20
994,153
995,3
996,7
997,17
998,16
999,180
1000,32
1001,12
1002,65
1003,8
1004,7
1005,30
1006,6
1007,38
1008,22
1009,15
1010,52
1011,36
1012,10
1013,8
1014,12
1015,15
1016,13
1017,32
1018,7
1019,9
1020,48
1021,15
1022,13
1023,28
1024,38
1025,15
1026,59
1027,20
1028,16
1029,19
1030,125
1031,31
1032,45
1033,34
1034,11
1035,9
1036,84
1037,34
1038,37
1039,23
1040,32
1041,13
1042,33
1043,30
1044,72
1045,17
1046,13
1047,11
1048,32
1049,49
1050,33
1051,37
1052,9
1053,41
1054,38
1055,9
1056,18
1057,28
1058,7
1059,20
1060,9
1061,54
1062,25
1063,45
1064,48
1065,7
1066,106
1067,14
1068,16
1069,63
1070,31
1071,32
1072,33
1073,10
1074,57
1075,9
1076,50
1077,14
1078,6
1079,16
1080,12
1081,20
1082,16
1083,30
1084,24
1085,76
1086,36
1087,112
1088,19
1089,18
1090,26
1091,10
1092,13
1093,67
1094,28
1095,8
1096,25
1097,12
1098,10
1099,21
1100,26
1101,327
1102,9
1103,22
1104,57
1105,4
1106,34
1107,8
1108,29
1109,15
1110,20
1111,17
1112,48
1113,19
1114,7
1115,7
1116,25
1117,25
1118,19
1119,30
1120,26
1121,14
1122,25
1123,7
1124,25
1125,8
1126,7
1127,22
1128,54
1129,4
1130,25
1131,36
1132,31
1133,5
1134,9
1135,103
1136,20
1137,11
1138,470
1139,61
1140,7
1141,12
1142,24
1143,5
1144,26
1145,16
1146,8
1147,154
1148,33
1149,43
1150,11
1151,32
1152,17
1153,67
1154,127
1155,57
1156,28
1157,33
1158,38
1159,16
1160,31
1161,5
1162,7
1163,28
1164,13
1165,23
1166,6
1167,27
1168,6
1169,19
1170,46
1171,40
1172,105
1173,66
1174,3
1175,6
1176,54
1177,126
1178,860
1179,10
1180,56
1181,25
1182,39
1183,136
1184,70
1185,21
1186,9
1187,26
1188,36
1189,8
1190,12
1191,16
1192,47
1193,25
1194,16
1195,13
1196,10
1197,20
1198,12
1199,70
1200,19
1201,47
1202,21
1203,32
1204,11
1205,22
1206,14
1207,31
1208,10
1209,3
1210,61
1211,30
1212,19
1213,27
1214,22
1215,22
1216,19
1217,10
1218,135
1219,24
1220,62
1221,123
1222,101
1223,25
1224,3
1225,28
1226,8
1227,15
1228,6
1229,42
1230,6
1231,63
1232,10
1233,12
1234,10
1235,16
1236,35
1237,19
1238,22
1239,32
1240,19
1241,31
1242,37
1243,39
1244,34
1245,32
1246,32
1247,23
1248,41
1249,29
1250,713
1251,10
1252,31
1253,32
1254,15
1255,14
1256,145
1257,13
1258,32
1259,53
1260,8
1261,34
1262,41
1263,17
1264,16
1265,14
1266,21
1267,30
1268,22
1269,74
1270,18
1271,30
1272,31
1273,380
1274,32
1275,61
1276,19
1277,6
1278,5
1279,36
1280,7
1281,32
1282,29
1283,15
1284,9
1285,365
1286,13
1287,4
1288,6
1289,58
1290,74
1291,15
1292,44
1293,5
1294,37
1295,4
1296,7
1297,28
1298,93
1299,21
1300,54
1301,25
1302,12
1303,65
1304,58
1305,13
1306,32
1307,33
1308,19
1309,31
1310,36
1311,3
1312,22
1313,75
1314,44
1315,27
1316,13
1317,25
1318,8
1319,21
1320,23
1321,59
1322,12
1323,16
1324,22
1325,73
1326,87
1327,25
1328,27
1329,49
1330,22
1331,32
1332,93
1333,21
1334,24
1335,20
1336,14
1337,32
1338,25
1339,26
1340,8
1341,57
1342,9
1343,22
1344,30
1345,8
1346,27
1347,25
1348,87
1349,64
1350,197
1351,20
1352,30
1353,29
1354,9
1355,8
1356,40
1357,31
1358,8
1359,39
1360,33
1361,9
1362,49
1363,37
1364,34
1365,10
1366,26
1367,70
1368,30
1369,9
1370,22
1371,10
1372,80
1373,16
1374,32
1375,28
1376,15
1377,30
1378,215
1379,14
1380,13
1381,24
1382,7
1383,27
1384,49
1385,8
1386,5
1387,54
1388,13
1389,28
1390,44
1391,7
1392,27
1393,9
1394,34
1395,68
1396,68
1397,34
1398,18
1399,19
1400,9
1401,24
1402,59
1403,9
1404,14
1405,45
1406,15
1407,10
1408,15
1409,18
1410,25
1411,14
1412,87
1413,24
1414,6
1415,32
1416,7
1417,8
1418,412
1419,29
1420,23
1421,18
1422,13
1423,9
1424,41
1425,19
1426,18
1427,36
1428,94
1429,3
1430,29
1431,21
1432,36
1433,192
1434,4
1435,15
1436,9
1437,21
1438,47
1439,7
1440,18
1441,10
1442,3
1443,41
1444,27
1445,25
1446,8
1447,6
1448,36
1449,17
1450,18
1451,304
1452,5
1453,23
1454,28
1455,37
1456,11
1457,14
1458,61
1459,25
1460,22
1461,25
1462,28
1463,21
1464,33
1465,43
1466,30
1467,22
1468,18
1469,7
1470,32
1471,8
1472,9
1473,38
1474,11
1475,23
1476,17
1477,7
1478,16
1479,7
1480,26
1481,36
1482,44
1483,6
1484,38
1485,12
1486,28
1487,56
1488,3
1489,3
1490,43
1491,91
1492,10
1493,18
1494,27
1495,7
1496,9
1497,30
1498,26
1499,14
1500,11
1501,8
1502,33
1503,9
1504,19
1505,431
1506,15
1507,23
1508,31
1509,29
1510,10
1511,54
1512,34
1513,17
1514,7
1515,18
1516,32
1517,32
1518,31
1519,13
1520,23
1521,5
1522,36
1523,35
1524,53
1525,30
1526,31
1527,11
1528,17
1529,32
1530,45
1531,7
1532,20
1533,5
1534,26
1535,128
1536,75
1537,30
1538,15
1539,24
1540,9
1541,52
1542,34
1543,22
1544,31
1545,25
1546,37
1547,21
1548,28
1549,39
1550,27
1551,31
1552,18
1553,8
1554,11
1555,7
1556,22
1557,47
1558,29
1559,7
1560,56
1561,4
1562,9
1563,16
1564,4
1565,5
1566,7
1567,16
1568,278
1569,35
1570,6
1571,19
1572,6
1573,28
1574,24
1575,275
1576,21
1577,26
1578,198
1579,313
1580,11
1581,27
1582,24
1583,27
1584,8
1585,31
1586,11
1587,26
1588,22
1589,25
1590,63
1591,28
1592,47
1593,7
1594,14
1595,44
1596,28
1597,113
1598,7
1599,7
1600,21
1601,7
1602,11
1603,37
1604,8
1605,24
1606,15
1607,56
1608,19
1609,3
1610,12
1611,7
1612,29
1613,22
1614,22
1615,124
1616,13
1617,34
1618,16
1619,2
1620,97
1621,47
1622,3
1623,23
1624,162
1625,31
1626,36
1627,29
1628,11
1629,8
1630,6
1631,20
1632,6
1633,102
1634,95
1635,4
1636,8
1637,24
1638,84
1639,5
1640,27
1641,21
1642,34
1643,28
1644,18
1645,5
1646,15
1647,32
1648,9
1649,18
1650,9
1651,7
1652,34
1653,32
1654,11
1655,102
1656,8
1657,16
1658,29
1659,19
1660,37
1661,17
1662,9
1663,24
1664,19
1665,26
1666,18
1667,27
1668,33
1669,21
1670,6
1671,31
1672,26
1673,23
1674,198
1675,26
1676,13
1677,65
1678,27
1679,8
1680,38
1681,38
1682,25
1683,27
1684,29
1685,11
1686,17
1687,27
1688,23
1689,21
1690,84
1691,29
1692,52
1693,9
1694,28
1695,31
1696,60
1697,29
1698,11
1699,354
1700,11
1701,27
1702,7
1703,6
1704,29
1705,7
1706,22
1707,22
1708,28
1709,14
1710,13
1711,383
1712,66
1713,10
1714,38
1715,17
1716,53
1717,54
1718,32
1719,14
1720,18
1721,28
1722,9
1723,35
1724,42
1725,23
1726,7
1727,396
1728,19
1729,40
1730,31
1731,21
1732,27
1733,4
1734,17
1735,8
1736,51
1737,17
1738,12
1739,4
1740,29
1741,37
1742,9
1743,12
1744,8
1745,6
1746,37
1747,24
1748,37
1749,28
1750,23
1751,13
1752,6
1753,8
1754,33
1755,25
1756,11
1757,54
1758,49
1759,25
1760,45
1761,8
1762,54
1763,6
1764,20
1765,27
1766,29
1767,27
1768,4
1769,31
1770,29
1771,25
1772,26
1773,20
1774,11
1775,14
1776,20
1777,25
1778,49
1779,27
1780,19
1781,20
1782,13
1783,31
1784,12
1785,6
1786,6
1787,56
1788,32
1789,24
1790,38
1791,23
1792,20
1793,15
1794,21
1795,73
1796,31
1797,25
1798,26
1799,11
1800,22
1801,31
1802,6
1803,19
1804,6
1805,29
1806,19
1807,8
1808,18
1809,11
1810,27
1811,100
1812,29
1813,43
1814,21
1815,34
1816,40
1817,6
1818,186
1819,39
1820,13
1821,25
1822,14
1823,8
1824,24
1825,20
1826,27
1827,8
1828,7
1829,25
1830,31
1831,12
1832,28
1833,7
1834,9
1835,22
1836,4
1837,25
1838,26
1839,15
1840,13
1841,15
1842,21
1843,15
1844,34
1845,29
1846,28
1847,71
1848,44
1849,37
1850,34
1851,42
1852,119
1853,85
1854,4
1855,29
1856,11
1857,23
1858,32
1859,25
1860,24
1861,18
1862,30
1863,34
1864,9
1865,47
1866,35
1867,22
1868,36
1869,18
1870,54
1871,34
1872,76
1873,45
1874,20
1875,9
1876,20
1877,30
1878,8
1879,58
1880,127
1881,15
1882,19
1883,91
1884,26
1885,23
1886,6
1887,6
1888,14
1889,67
1890,24
1891,72
1892,24
1893,15
1894,21
1895,29
1896,5
1897,58
1898,18
1899,57
1900,87
1901,8
1902,42
1903,37
1904,11
1905,3
1906,168
1907,34
1908,20
1909,27
1910,20
1911,22
1912,38
1913,13
1914,16
1915,10
1916,40
1917,50
1918,35
1919,15
1920,14
1921,139
1922,14
1923,55
1924,46
1925,18
1926,65
1927,48
1928,250
1929,25
1930,16
1931,8
1932,26
1933,36
1934,18
1935,18
1936,211
1937,26
1938,11
1939,18
1940,14
1941,36
1942,61
1943,53
1944,21
1945,19
1946,39
1947,9
1948,23
1949,31
1950,18
1951,18
1952,131
1953,17
1954,18
1955,35
1956,7
1957,16
1958,17
1959,10
1960,35
1961,14
1962,14
1963,32
1964,9
1965,10
1966,25
1967,13
1968,10
1969,18
1970,20
1971,11
1972,67
1973,8
1974,18
1975,6
1976,59
1977,19
1978,3
1979,9
1980,40
1981,7
1982,26
1983,13
1984,83
1985,24
1986,38
1987,21
1988,32
1989,16
1990,12
1991,15
1992,13
1993,61
1994,14
1995,25
1996,21
1997,12
1998,18
1999,194
2000,12
2001,17
2002,32
2003,6
2004,7
2005,52
2006,23
2007,30
2008,7
2009,26
2010,30
2011,52
2012,25
2013,46
2014,5
2015,28
2016,32
2017,65
2018,20
2019,36
2020,18
2021,36
2022,27
2023,19
2024,18
2025,27
2026,10
2027,20
2028,61
2029,12
2030,26
2031,55
2032,33
2033,64
2034,23
2035,30
2036,35
2037,32
2038,11
2039,32
2040,48
2041,20
2042,13
2043,10
2044,54
2045,3
2046,21
2047,8
2048,37
2049,63
2050,23
2051,40
2052,115
2053,12
2054,21
2055,6
2056,25
2057,32
2058,25
2059,57
2060,24
2061,56
2062,18
2063,15
2064,39
2065,29
2066,26
2067,62
2068,24
2069,6
2070,46
2071,6
2072,21
2073,25
2074,24
2075,7
2076,27
2077,31
2078,154
2079,12
2080,4
2081,41
2082,10
2083,10
2084,39
2085,20
2086,26
2087,19
2088,70
2089,21
2090,14
2091,58
2092,10
2093,32
2094,31
2095,7
2096,6
2097,6
2098,15
2099,8
2100,246
2101,3
2102,10
2103,30
2104,32
2105,24
2106,26
2107,171
2108,25
2109,8
2110,59
2111,3
2112,32
2113,92
2114,36
2115,17
2116,28
2117,18
2118,25
2119,25
2120,13
2121,34
2122,40
2123,30
2124,30
2125,24
2126,4
2127,34
2128,35
2129,29
2130,8
2131,31
2132,17
2133,27
2134,19
2135,32
2136,8
2137,29
2138,9
2139,46
2140,52
2141,8
2142,4
2143,5
2144,13
2145,17
2146,5
2147,521
2148,12
2149,20
2150,48
2151,2
2152,17
2153,17
2154,57
2155,31
2156,24
2157,519
2158,41
2159,339
2160,13
2161,21
2162,10
2163,27
2164,8
2165,32
2166,13
2167,25
2168,39
2169,57
2170,23
2171,4
2172,22
2173,16
2174,27
2175,24
2176,12
2177,23
2178,35
2179,19
2180,58
2181,8
2182,26
2183,468
2184,97
2185,32
2186,883
2187,18
2188,26
2189,29
2190,86
2191,22
2192,16
2193,34
2194,39
2195,143
2196,9
2197,126
2198,15
2199,24
2200,38
2201,22
2202,9
2203,2
2204,28
2205,8
2206,58
2207,21
2208,11
2209,8
2210,4
2211,27
2212,20
2213,13
2214,40
2215,8
2216,8
2217,4
2218,21
2219,26
2220,7
2221,35
2222,14
2223,17
2224,11
2225,7
2226,123
2227,7
2228,10
2229,30
2230,30
2231,4
2232,96
2233,27
2234,88
2235,21
2236,32
2237,5
2238,15
2239,12
2240,160
2241,11
2242,23
2243,50
2244,27
2245,23
2246,15
2247,11
2248,11
2249,41
2250,18
2251,21
2252,27
2253,57
2254,31
2255,62
2256,17
2257,13
2258,19
2259,29
2260,636
2261,6
2262,3
2263,28
2264,17
2265,18
2266,29
2267,54
2268,24
2269,25
2270,8
2271,13
2272,27
2273,38
2274,10
2275,22
2276,32
2277,35
2278,5
2279,25
2280,29
2281,20
2282,26
2283,21
2284,10
2285,24
2286,16
2287,22
2288,23
2289,30
2290,78
2291,9
2292,29
2293,5
2294,24
2295,9
2296,8
2297,24
2298,9
2299,14
2300,7
2301,47
2302,25
2303,156
2304,51
2305,13
2306,343
2307,13
2308,2
2309,37
2310,20
2311,50
2312,28
2313,20
2314,41
2315,13
2316,29
2317,49
2318,28
2319,24
2320,4
2321,40
2322,28
2323,24
2324,39
2325,15
2326,19
2327,20
2328,16
2329,8
2330,40
2331,25
2332,43
2333,53
2334,48
2335,23
2336,16
2337,17
2338,42
2339,7
2340,24
2341,51
2342,34
2343,35
2344,13
2345,20
2346,32
2347,38
2348,29
2349,13
2350,38
2351,13
2352,24
2353,34
2354,67
2355,6
2356,24
2357,9
2358,24
2359,116
2360,14
2361,17
2362,12
2363,38
2364,15
2365,262
2366,9
2367,40
2368,26
2369,53
2370,13
2371,17
2372,21
2373,245
2374,27
2375,22
2376,7
2377,40
2378,34
2379,15
2380,55
2381,22
2382,20
2383,38
2384,21
2385,30
2386,4
2387,12
2388,8
2389,29
2390,38
2391,31
2392,15
2393,8
2394,24
2395,33
2396,19
2397,44
2398,35
2399,26
2400,13
2401,6
2402,22
2403,508
2404,38
2405,40
2406,32
2407,16
2408,8
2409,23
2410,28
2411,28
2412,105
2413,10
2414,10
2415,35
2416,28
2417,32
2418,59
2419,27
2420,193
2421,8
2422,36
2423,4
2424,37
2425,42
2426,28
2427,11
2428,25
2429,16
2430,37
2431,10
2432,33
2433,34
2434,29
2435,124
2436,28
2437,28
2438,21
2439,21
2440,19
2441,35
2442,13
2443,65
2444,27
2445,11
2446,34
2447,8
2448,8
2449,29
2450,8
2451,29
2452,7
2453,21
2454,27
2455,18
2456,12
2457,16
2458,11
2459,40
2460,34
2461,15
2462,6
2463,26
2464,27
2465,30
2466,39
2467,15
2468,20
2469,48
2470,31
2471,32
2472,7
2473,23
2474,19
2475,37
2476,41
2477,433
2478,13
2479,10
2480,16
2481,40
2482,24
2483,61
2484,21
2485,11
2486,7
2487,7
2488,15
2489,20
2490,29
2491,84
2492,114
2493,26
2494,13
2495,30
2496,47
2497,14
2498,9
2499,32
2500,11
2501,291
2502,29
2503,8
2504,73
2505,79
2506,32
2507,14
2508,21
2509,5
2510,47
2511,68
2512,39
2513,19
2514,59
2515,23
2516,23
2517,8
2518,32
2519,44
2520,19
2521,48
2522,42
2523,28
2524,8
2525,14
2526,32
2527,32
2528,25
2529,32
2530,83
2531,19
2532,4
2533,22
2534,38
2535,55
2536,25
2537,29
2538,6
2539,13
2540,3
2541,56
2542,30
2543,12
2544,44
2545,38
2546,12
2547,46
2548,53
2549,17
2550,7
2551,15
2552,36
2553,20
2554,36
2555,9
2556,21
2557,23
2558,14
2559,19
2560,25
2561,45
2562,15
2563,36
2564,9
2565,17
2566,36
2567,77
2568,19
2569,49
2570,19
2571,20
2572,18
2573,19
2574,3
2575,23
2576,7
2577,30
2578,15
2579,20
2580,46
2581,31
2582,17
2583,27
2584,22
2585,29
2586,11
2587,3
2588,508
2589,9
2590,19
2591,44
2592,61
2593,32
2594,23
2595,158
2596,21
2597,7
2598,4
2599,65
2600,7
2601,103
2602,14
2603,26
2604,4
2605,27
2606,18
2607,7
2608,7
2609,129
2610,44
2611,35
2612,95
2613,18
2614,58
2615,46
2616,150
2617,24
2618,12
2619,58
2620,25
2621,22
2622,19
2623,5
2624,19
2625,27
2626,9
2627,33
2628,29
2629,5
2630,22
2631,14
2632,17
2633,26
2634,20
2635,64
2636,24
2637,35
2638,52
2639,25
2640,61
2641,31
2642,201
2643,29
2644,4
2645,31
2646,21
2647,22
2648,15
2649,37
2650,4
2651,15
2652,22
2653,3
2654,43
2655,56
2656,36
2657,138
2658,16
2659,65
2660,36
2661,15
2662,15
2663,35
2664,297
2665,9
2666,19
2667,25
2668,21
2669,50
2670,27
2671,48
2672,10
2673,9
2674,56
2675,18
2676,123
2677,51
2678,4
2679,26
2680,4
2681,24
2682,36
2683,67
2684,91
2685,3
2686,35
2687,34
2688,39
2689,26
2690,26
2691,252
2692,32
2693,8
2694,29
2695,27
2696,38
2697,19
2698,48
2699,12
2700,54
2701,69
2702,26
2703,15
2704,563
2705,56
2706,11
2707,19
2708,8
2709,7
2710,30
2711,13
2712,10
2713,31
2714,13
2715,25
2716,26
2717,12
2718,57
2719,18
2720,4
2721,5
2722,22
2723,32
2724,28
2725,7
2726,29
2727,20
2728,14
2729,31
2730,24
2731,30
2732,32
2733,238
2734,28
2735,35
2736,28
2737,11
2738,16
2739,4
2740,32
2741,31
2742,43
2743,31
2744,21
2745,8
2746,8
2747,14
2748,113
2749,36
2750,13
2751,41
2752,15
2753,25
2754,29
2755,19
2756,17
2757,4
2758,2
2759,16
2760,53
2761,25
2762,38
2763,28
2764,13
2765,34
2766,37
2767,33
2768,10
2769,9
2770,18
2771,33
2772,24
2773,27
2774,13
2775,33
2776,19
2777,17
2778,48
2779,12
2780,4
2781,151
2782,47
2783,66
2784,11
2785,17
2786,69
2787,31
2788,24
2789,43
2790,16
2791,15
2792,13
2793,132
2794,2
2795,54
2796,10
2797,7
2798,19
2799,34
2800,13
2801,33
2802,29
2803,3
2804,35
2805,35
2806,24
2807,11
2808,27
2809,33
2810,20
2811,61
2812,31
2813,13
2814,6
2815,14
2816,28
2817,29
2818,21
2819,15
2820,29
2821,39
2822,28
2823,28
2824,43
2825,24
2826,75
2827,34
2828,5
2829,666
2830,17
2831,422
2832,233
2833,32
2834,7
2835,57
2836,14
2837,32
2838,24
2839,39
2840,28
2841,7
2842,34
2843,46
2844,57
2845,12
2846,8
2847,22
2848,47
2849,23
2850,6
2851,3
2852,23
2853,25
2854,33
2855,27
2856,8
2857,10
2858,57
2859,42
2860,40
2861,25
2862,15
2863,27
2864,260
2865,162
2866,35
2867,100
2868,9
2869,12
2870,9
2871,25
2872,327
2873,14
2874,27
2875,56
2876,27
2877,45
2878,39
2879,27
2880,16
2881,51
2882,28
2883,39
2884,24
2885,6
2886,26
2887,7
2888,35
2889,49
2890,32
2891,19
2892,21
2893,7
2894,10
2895,77
2896,15
2897,6
2898,28
2899,24
2900,18
2901,29
2902,731
2903,22
2904,20
2905,6
2906,44
2907,85
2908,34
2909,32
2910,4
2911,34
2912,45
2913,23
2914,49
2915,33
2916,22
2917,40
2918,10
2919,21
2920,52
2921,82
2922,30
2923,30
2924,29
2925,31
2926,36
2927,8
2928,15
2929,18
2930,35
2931,11
2932,34
2933,9
2934,37
2935,68
2936,49
2937,16
2938,19
2939,28
2940,8
2941,6
2942,65
2943,59
2944,19
2945,45
2946,49
2947,14
2948,61
2949,65
2950,18
2951,16
2952,8
2953,9
2954,26
2955,214
2956,25
2957,25
2958,24
2959,21
2960,7
2961,23
2962,35
2963,77
2964,49
2965,2
2966,19
2967,23
2968,8
2969,28
2970,5
2971,19
2972,7
2973,26
2974,29
2975,15
2976,22
2977,11
2978,14
2979,75
2980,441
2981,34
2982,29
2983,19
2984,23
2985,29
2986,14
2987,31
2988,26
2989,23
2990,10
2991,28
2992,9
2993,43
2994,28
2995,15
2996,10
2997,21
